race;sex;belief
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;yes
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;undecided
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;female;no
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;yes
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
