"sheet"	"distribution_type"	"var_ratio"	"n1"	"n2"	"pre_t"	"pre_w"	"pre_w_freq"	"pre_u"	"pre_u_freq"	"t"	"w"	"u"	"delta"	"sigma2"	"pre_t_freq"
"1"	1	"1"	1	10	10	4.95	4.55	4.84	0	0.02	4.96	4.82	5.21	0	1	95.14
"2"	1	"1"	1	30	30	4.97	4.82	4.98	11.11	0.09	4.96	4.95	4.92	0	1	94.93
"3"	1	"1"	1	10	30	5	4.87	4.31	0	0.06	5.01	5.05	4.87	0	1	95.63
"4"	1	"1"	1	30	10	4.97	5.09	4.32	0	0.06	4.96	5.15	5	0	1	95.62
"5"	1	"1"	1	30	100	4.86	5	4.8	9.09	0.11	4.84	4.91	4.82	0	1	95.09
"6"	1	"1"	2	10	10	6.08	3.33	32.99	0	0.03	5.38	4.93	6.06	0	1	66.98
"7"	1	"1"	2	30	30	7.37	4.78	91.89	10	0.1	5.15	4.98	5.88	0	1	8.01000000000001
"8"	1	"1"	2	10	30	1.02	5.9	30.18	0	0.07	0.9	5	2.19	0	1	69.75
"9"	1	"1"	2	30	10	19.38	2.98	73.73	16.67	0.06	15.51	5.19	10.09	0	1	26.21
"10"	1	"1"	2	30	100	1.33	4.99	98.38	0	0.11	0.63	4.96	1.89	0	1	1.51000000000001
"11"	1	"2"	1	10	10	4.21	9.14	3.61	8.82	3.29	4.36	4.17	5.23	0	1	93.1
"12"	1	"2"	1	30	30	4.09	6.47	1.61	6.54	28	4.19	4.15	4.92	0	1	70.39
"13"	1	"2"	1	10	30	4.64	9.43	5.55	6.33	16.42	4.92	4.58	5.06	0	1	78.03
"14"	1	"2"	1	30	10	4.51	9.53	5.5	6.2	16.46	4.91	4.45	4.96	0	1	78.04
"15"	1	"2"	1	30	100	4.12	0.8	1.75	5.43	70.58	4.98	4.33	4.99	0	1	27.67
"16"	1	"2"	2	10	10	7.78	1.27	44.1	12.42	3.3	4.87	4.42	6.96	0	1	52.6
"17"	1	"2"	2	30	30	3.6	4.31	48.93	8.57	28.01	4.34	4.17	6.64	0	1	23.06
"18"	1	"2"	2	10	30	1.47	4.47	39.22	3.15	16.52	1.13	4.17	1.88	0	1	44.26
"19"	1	"2"	2	30	10	18.56	1.96	59.48	12.74	16.49	13.84	4.76	12.43	0	1	24.03
"20"	1	"2"	2	30	100	0.27	2.85	18.64	1.94	70.22	0.86	4.36	1.57	0	1	11.14
"21"	1	"3"	1	10	10	3.87	7.62	3.28	5.35	4.11	3.9	3.6	5.21	0	1	92.61
"22"	1	"3"	1	30	30	4.72	5.32	2.56	5.17	36.4	4.7	4.63	5.07	0	1	61.04
"23"	1	"3"	1	10	30	4.61	1.9	4.96	5.47	21.77	4.92	3.9	4.97	0	1	73.27
"24"	1	"3"	1	30	10	4.63	1.88	4.95	5.23	21.59	4.92	4.02	4.94	0	1	73.46
"25"	1	"3"	1	30	100	5.11	1.09	1.26	5.03	86.41	4.96	4.51	5.02	0	1	12.33
"26"	1	"3"	2	10	10	3.8	6	9.63	6.45	4.03	4.07	3.57	5.81	0	1	86.34
"27"	1	"3"	2	30	30	4.43	3.95	22.55	6.1	35.91	4.56	4.4	5.75	0	1	41.54
"28"	1	"3"	2	10	30	1.2	10.24	1.24	3.38	21.88	1.08	4.29	3.03	0	1	76.88
"29"	1	"3"	2	30	10	10.95	1.99	33.52	9.07	21.82	13.86	3.84	8.65	0	1	44.66
"30"	1	"3"	2	30	100	0.82	1.95	3.95	3.12	86.33	0.71	4.69	3.02	0	1	9.72
"31"	1	"4"	1	10	10	4.65	11.01	5.63	14.63	0.82	5.07	4.92	5.32	0	1	93.55
"32"	1	"4"	1	30	30	4.47	9.23	3.76	9.97	7.22	4.92	4.89	4.99	0	1	89.02
"33"	1	"4"	1	10	30	4.36	19.84	5.95	8.06	4.22	5.08	5.45	5.05	0	1	89.83
"34"	1	"4"	1	30	10	4.36	19.22	5.96	7.84	4.21	5.04	5.37	5.02	0	1	89.83
"35"	1	"4"	1	30	100	4.23	4.84	2.66	5.64	44.67	5.05	4.98	5.02	0	1	52.67
"36"	1	"4"	2	10	10	11.13	1.37	57.53	21.52	0.79	5.65	5.25	7.42	0	1	41.68
"37"	1	"4"	2	30	30	5.48	4.53	84.08	16.48	7.16	5.19	4.99	7.98	0	1	8.76000000000001
"38"	1	"4"	2	10	30	1.91	4.06	71.26	7.23	4.15	0.93	4.8	2.07	0	1	24.59
"39"	2	"4"	2	30	10	34.42	2.3	81.09	15.55	4.18	15.39	5.67	13.01	0	1	14.73
"40"	2	"4"	2	30	100	0.26	2.69	47.9	4.58	44.39	0.7	4.86	2.64	0	1	7.71000000000001
"41"	2	"5"	1	10	10	2.08	21.75	6.98	7.42	13.75	3.8	2.99	5.27	0	1	79.27
"42"	2	"5"	1	30	30	3.93	12.12	0.99	5.07	87.04	4.55	4.39	4.99	0	1	11.97
"43"	2	"5"	1	10	30	2.75	5.93	3.39	5.02	66.79	4.45	7.32	5.01	0	1	29.82
"44"	2	"5"	1	30	10	2.57	5.53	3.44	5.18	66.6	4.43	7.15	5.03	0	1	29.96
"45"	2	"5"	1	30	100	0	0	0	4.92	100	4.85	6.48	4.92	0	1	0
"46"	2	"5"	2	10	10	9.62	5.84	13.41	34.61	13.84	8.56	8.07	20.84	0	1	72.75
"47"	2	"5"	2	30	30	14.23	0.8	5.11	49.95	87.02	6.6	6.47	47.48	0	1	7.87
"48"	2	"5"	2	10	30	3.62	12.01	1.65	27.16	66.54	2.76	4.05	21.59	0	1	31.81
"49"	2	"5"	2	30	10	27.81	0.34	15.38	32.89	66.71	16.75	12.26	32.33	0	1	17.91
"50"	2	"5"	2	30	100	0	0	0	69.3	100	1.36	4.63	69.3	0	1	0
"51"	2	"1_5"	1	10	10	4.88	10.65	13.62	8.89	7.2	5.75	5.33	7.44	0	1	79.18
"52"	2	"1_5"	1	30	30	4.74	7.13	9.18	11.09	64.23	5.42	5.35	10.07	0	1	26.59
"53"	2	"1_5"	1	10	30	7.77	2.55	6.38	10.68	64.02	7.04	5.05	10.23	0	1	29.6
"54"	2	"1_5"	1	30	10	2.54	26.4	14.28	7.84	7.4	3.84	8.27	5.61	0	1	78.32
"55"	2	"1_5"	1	30	100	0	0	0	15.02	100	5.87	5.01	15.02	0	1	0
"56"	2	"1_5"	2	10	10	8.73	12.38	9.91	27.96	7.26	9.01	8.67	14.35	0	1	82.83
"57"	2	"1_5"	2	30	30	9.74	2.43	8.42	37.21	64.17	7.01	6.92	31.16	0	1	27.41
"58"	2	"1_5"	2	10	30	4.03	7.5	0.68	18.89	64.06	3.15	5.51	15.87	0	1	35.26
"59"	2	"1_5"	2	30	10	16.66	4.6	33.56	42.08	7.2	15.83	12.31	20.6	0	1	59.24
"60"	2	"1_5"	2	30	100	0	0	0.01	43.91	100	1.45	5.17	43.91	0	1	-0.0100000000000051
"61"	2	"1"	1	10	10	56.22	54.6	4.78	66.67	0.03	56.26	55.68	54.9	1	1	95.19
"62"	2	"1"	1	30	30	96.67	96.99	4.98	100	0.09	96.68	96.66	95.9	1	1	94.93
"63"	2	"1"	1	10	30	76.04	60.81	4.21	66.67	0.06	76.07	72.52	73.3	1	1	95.73
"64"	2	"1"	1	30	10	76.33	59.17	4.36	75	0.08	76.31	72.86	73.61	1	1	95.56
"65"	2	"1"	1	30	100	99.75	99.57	4.7	100	0.09	99.74	99.69	99.62	1	1	95.21
"66"	2	"1"	2	10	10	30.03	20.62	33.12	40	0.05	27.65	26.12	27.34	1	1	66.83
"67"	2	"1"	2	30	30	72.42	66.02	91.67	60	0.1	67.15	66.61	64.21	1	1	8.23
"68"	2	"1"	2	10	30	27.15	54.61	30.34	42.86	0.07	25.8	51.56	34.62	1	1	69.59
"69"	2	"1"	2	30	10	58.53	22.54	73.37	37.5	0.08	52.89	28.55	40.01	1	1	26.55
"70"	2	"1"	2	30	100	83.56	95.38	98.42	91.67	0.12	81.73	95.47	87.56	1	1	1.45999999999999
"71"	2	"2"	1	10	10	32.09	40.49	3.67	33.85	3.25	31.67	31.08	35.91	1	1	93.08
"72"	2	"2"	1	30	30	76.58	78.05	1.55	76.4	28.01	66.32	66.08	80.45	1	1	70.44
"73"	3	"2"	1	10	30	48.567	29.97	5.51	46.28	16.68	43.06	42.68	50.17	1	1	77.81
"74"	3	"2"	1	30	10	48.37	29.39	5.51	48.58	16.55	43.28	42.68	50.43	1	1	77.94
"75"	3	"2"	1	30	100	94.38	27.29	1.73	93.35	70.67	77.43	80.12	94.08	1	1	27.6
"76"	3	"2"	2	10	10	18.86	10.66	43.75	18.87	3.18	15.44	14.34	14.11	1	1	53.07
"77"	3	"2"	2	30	30	31.03	43.94	48.87	29.54	27.96	36.18	35.62	29.07	1	1	23.17
"78"	3	"2"	2	10	30	11.22	36.12	39.15	12.62	16.48	10.85	27.25	11.03	1	1	44.37
"79"	3	"2"	2	30	10	35.66	12.37	59.44	22.83	16.47	33.7	15.64	22.33	1	1	24.09
"80"	3	"2"	2	30	100	41.14	56.25	18.24	37.61	70.7	32.37	59.63	37.99	1	1	11.06
"81"	3	"3"	1	10	10	66.43	68.83	3.23	82.58	4.19	65.48	64.36	80.15	1	1	92.58
"82"	3	"3"	1	30	30	97.84	83.77	2.65	99.89	36.24	94.93	94.86	99.89	1	1	61.11
"83"	3	"3"	1	10	30	83.09	38.57	4.84	93.82	21.85	78.83	77.57	93.12	1	1	73.31
"84"	3	"3"	1	30	10	83.59	50	5.01	93.36	21.54	78.2	78.23	93.76	1	1	73.45
"85"	3	"3"	1	30	100	100	26.23	1.26	100	86.63	99.16	98.15	100	1	1	12.11
"86"	3	"3"	2	10	10	37.76	43.5	9.74	55.91	4.06	37.83	35.87	53.68	1	1	86.2
"87"	3	"3"	2	30	30	75.51	64.01	22.59	94.95	36.05	71.64	71.16	94.63	1	1	41.36
"88"	3	"3"	2	10	30	36.7	75	1.25	77.55	21.91	34.06	58.8	73.52	1	1	76.84
"89"	3	"3"	2	30	10	65.47	25.86	33.63	68.96	22	59.69	41.06	69.78	1	1	44.37
"90"	3	"3"	2	30	100	92.06	35.47	3.85	99.79	86.58	82	94.03	99.77	1	1	9.57000000000001
"91"	3	"4"	1	10	10	59.42	58.97	5.62	54.76	0.84	59.2	58.82	56.45	1	1	93.54
"92"	3	"4"	1	30	30	97.69	92.15	3.72	92.54	7.24	96.28	96.24	96.24	1	1	89.04
"93"	3	"4"	1	10	30	80.06	65.6	6.06	63.59	4.12	78.48	75.47	73.45	1	1	89.82
"94"	3	"4"	1	30	10	79.81	65.78	5.84	79.16	4.27	78.11	76.71	75.51	1	1	89.89
"95"	3	"4"	1	30	100	99.92	50.95	2.76	99.28	44.49	99.18	98.51	99.54	1	1	52.75
"96"	3	"4"	2	10	10	24.8	24.53	57.56	24.05	0.79	26.13	24.21	18.34	1	1	41.65
"97"	3	"4"	2	30	30	53.54	69.91	84.12	38.1	7.27	69.92	69.34	42.57	1	1	8.61
"98"	3	"4"	2	10	30	17.39	59.6	71.12	12.44	4.1	26.42	54.32	18.95	1	1	24.78
"99"	3	"4"	2	30	10	34.84	24.81	81.19	32.86	4.2	53.29	25.46	28.14	1	1	14.61
"100"	3	"4"	2	30	100	86.49	59.4	47.97	46.43	44.33	83.52	95.04	61.73	1	1	7.7
"101"	3	"5"	1	10	10	68.88	59.27	6.91	85.91	13.91	65.93	65	82.31	1	1	79.18
"102"	3	"5"	1	30	30	98.24	18.79	1.01	99.87	87.07	94.81	94.72	99.87	1	1	11.92
"103"	3	"5"	1	10	30	89.7	8.76	3.31	90.99	66.5	79.24	73.64	91.17	1	1	30.19
"104"	3	"5"	1	30	10	82.59	50.4	3.31	98.69	66.59	77.16	83.77	98.07	1	1	30.1
"105"	3	"5"	1	30	100	0	0	0	99.98	100	98.88	96.81	99.98	1	1	0
"106"	3	"5"	2	10	10	21.34	69.67	13.51	53.94	13.85	27.81	24.35	49.43	1	1	72.64
"107"	3	"5"	2	30	30	76.11	19.64	5.2	92.94	87.14	75.09	74.63	92.98	1	1	7.66
"108"	3	"5"	2	10	30	41.04	54.17	1.69	62.95	66.39	27.31	60.14	65.4	1	1	31.92
"109"	3	"5"	2	30	10	32.73	16.31	15.53	72.96	66.75	55.52	21.66	68.62	1	1	17.72
"110"	3	"5"	2	30	100	0	0	0	98.26	100	86.69	93.42	98.26	1	1	0
"111"	4	"1_5"	1	10	10	64.84	39.47	13.76	47.13	7.15	60.07	58.56	58.39	1	1	79.09
"112"	4	"1_5"	1	30	30	99.74	56.8	8.99	95.71	64.27	98.65	98.62	96.4	1	1	26.74
