school	student	normexam	standlrt	gender	schgend	avslrt	schav	vrband
1	1	.26132	.61906	1	1	.16617	2	1
1	2	.13407	.2058	1	1	.16617	2	2
1	3	-1.7239	-1.3646	0	1	.16617	2	3
1	4	.96759	.2058	1	1	.16617	2	2
1	5	.54434	.3711	1	1	.16617	2	2
1	6	1.7349	2.1894	0	1	.16617	2	1
1	7	1.0396	-1.1166	0	1	.16617	2	3
1	8	-.12908	-1.034	0	1	.16617	2	2
1	9	-.93938	-.53806	1	1	.16617	2	2
1	10	-1.2195	-1.4472	0	1	.16617	2	3
1	11	2.4087	2.4374	0	1	.16617	2	1
1	12	.61073	2.1068	0	1	.16617	2	1
1	13	-1.8367	.040499	0	1	.16617	2	2
1	14	-.12908	1.1976	0	1	.16617	2	1
1	15	2.2031	2.52	0	1	.16617	2	1
1	16	1.2405	1.115	1	1	.16617	2	1
1	17	1.7349	1.0323	1	1	.16617	2	1
1	18	1.3101	.78436	0	1	.16617	2	1
1	19	-.62305	-1.1166	0	1	.16617	2	3
1	20	1.0396	-1.1993	1	1	.16617	2	3
1	21	-1.0291	-.37276	1	1	.16617	2	2
1	22	-1.2195	-1.3646	0	1	.16617	2	3
1	23	.32807	-.95132	1	1	.16617	2	2
1	24	-.49278	-2.3564	0	1	.16617	2	3
1	25	1.9003	-.042152	1	1	.16617	2	2
1	26	.89657	.3711	0	1	.16617	2	1
1	27	.073536	1.115	0	1	.16617	2	1
1	28	.19415	.040499	0	1	.16617	2	2
1	29	1.5062	.61906	1	1	.16617	2	1
1	30	1.9003	2.0241	0	1	.16617	2	1
1	31	.32807	-.62071	0	1	.16617	2	2
1	32	.89657	-1.1166	0	1	.16617	2	3
1	33	1.6618	.28845	0	1	.16617	2	2
1	34	-.77611	-.1248	0	1	.16617	2	2
1	35	.40267	.3711	0	1	.16617	2	1
1	36	.96759	1.0323	0	1	.16617	2	1
1	37	.47819	-.1248	0	1	.16617	2	2
1	38	.13407	.12315	0	1	.16617	2	2
1	39	2.3136	.61906	0	1	.16617	2	1
1	40	-.19761	.28845	0	1	.16617	2	2
1	41	.47819	-.29011	0	1	.16617	2	2
1	42	.82199	.78436	0	1	.16617	2	1
1	43	1.0396	-.29011	1	1	.16617	2	2
1	44	-.55511	-1.034	1	1	.16617	2	2
1	45	-1.3353	-.95132	0	1	.16617	2	2
1	46	-.55511	-2.3564	0	1	.16617	2	3
1	47	1.5062	.78436	1	1	.16617	2	1
1	48	-.93938	-.37276	0	1	.16617	2	2
1	49	2.3136	.78436	1	1	.16617	2	1
1	50	-.062088	-.70336	1	1	.16617	2	2
1	51	-.19761	.040499	0	1	.16617	2	2
1	52	-.19761	-.29011	0	1	.16617	2	2
1	53	2.0397	1.6109	1	1	.16617	2	1
1	54	1.6618	.3711	1	1	.16617	2	1
1	55	1.4395	1.6109	1	1	.16617	2	1
1	56	.32807	.3711	1	1	.16617	2	1
1	57	.073536	-.042152	1	1	.16617	2	2
1	58	.96759	-.29011	1	1	.16617	2	2
1	59	-1.0291	-.62071	1	1	.16617	2	2
1	60	1.7349	1.6109	0	1	.16617	2	1
1	61	2.4087	1.1976	1	1	.16617	2	1
1	62	-1.5267	-.62071	0	1	.16617	2	2
1	63	1.4395	.86701	0	1	.16617	2	1
1	64	1.5062	.53641	1	1	.16617	2	1
1	65	1.8138	.45376	0	1	.16617	2	1
1	66	.74723	1.2803	1	1	.16617	2	1
1	67	-1.0291	-1.2819	0	1	.16617	2	3
1	68	-.12908	-.1248	0	1	.16617	2	2
1	69	1.5792	.2058	0	1	.16617	2	2
1	70	1.3101	1.6935	0	1	.16617	2	1
1	71	-1.1186	-.86867	1	1	.16617	2	2
1	72	.89657	.86701	0	1	.16617	2	1
1	73	.26132	.3711	0	1	.16617	2	2
2	1	1.5792	.12315	1	3	.39515	3	2
2	2	1.2405	.70171	1	3	.39515	3	1
2	3	.61073	.28845	1	3	.39515	3	2
2	4	.47819	.70171	1	3	.39515	3	1
2	5	-1.1186	-.62071	1	3	.39515	3	2
2	6	1.7349	1.2803	1	3	.39515	3	1
2	7	2.4087	.61906	1	3	.39515	3	1
2	8	2.9247	.94967	1	3	.39515	3	1
